BasketId,ItemId,SiteId,TimeStamp,Qtty,ClientId,IsActive,IDE
7131775,329479,27,2016-01-02 11:58:56.417,1.0,-103,1,3820
7131775,336158,27,2016-01-02 11:58:56.417,1.0,-103,1,3642
7131775,363421,27,2016-01-02 11:58:56.417,1.0,-103,1,821
7131786,258384,30,2016-01-02 12:00:32.727,1.0,-103,1,1058
7131786,258461,30,2016-01-02 12:00:32.727,1.0,-103,1,106
7131720,163219,27,2016-01-02 12:05:16.380,1.0,-103,1,8
7131720,415538,27,2016-01-02 12:05:16.380,1.0,-103,1,1113
7131727,459199,32,2016-01-02 12:06:28.343,1.0,-103,1,8293
7131727,463401,32,2016-01-02 12:06:28.343,1.0,-103,1,2281
7131844,187840,30,2016-01-02 12:09:57.047,1.0,-103,1,891
7131844,319292,30,2016-01-02 12:09:57.047,1.0,-103,1,1194
7131751,427588,7,2016-01-02 12:10:34.840,1.0,-103,1,403
7131751,466785,7,2016-01-02 12:10:34.840,1.0,-103,1,866
7131758,313421,20,2016-01-02 12:11:33.623,1.0,-103,1,3339
7131758,402460,20,2016-01-02 12:11:33.623,1.0,-103,1,714
7131768,214198,10,2016-01-02 12:12:49.923,1.0,-103,1,63
7131768,459630,10,2016-01-02 12:12:49.923,1.0,-103,1,4023
7131771,258120,32,2016-01-02 12:13:30.810,1.0,-103,1,325
7131771,258283,32,2016-01-02 12:13:30.810,1.0,-103,1,575
7131780,442267,25,2016-01-02 12:15:32.583,1.0,-103,1,1186
7131780,463072,25,2016-01-02 12:15:32.583,1.0,-103,1,9174
7131790,391294,26,2016-01-02 12:17:47.043,1.0,-103,1,3033
7131790,464733,26,2016-01-02 12:17:47.043,1.0,-103,1,8465
7131804,258276,7,2016-01-02 12:19:58.130,1.0,-103,1,561
7131804,356943,7,2016-01-02 12:19:58.130,1.0,-103,1,5198
7131807,391746,20,2016-01-02 12:20:10.010,1.0,-103,1,522
7131807,429121,20,2016-01-02 12:20:10.010,1.0,-103,1,1174
7131807,439401,20,2016-01-02 12:20:10.010,1.0,-103,1,2001
7131807,459562,20,2016-01-02 12:20:10.010,1.0,-103,1,357
7131912,398460,30,2016-01-02 12:20:10.333,1.0,-103,1,1206
7131912,459239,30,2016-01-02 12:20:10.333,1.0,-103,1,5715
7131808,438175,12,2016-01-02 12:20:21.703,1.0,-103,1,5228
7131808,447854,12,2016-01-02 12:20:21.703,1.0,-103,1,8839
7131808,455360,12,2016-01-02 12:20:21.703,1.0,-103,1,452
7131825,214198,26,2016-01-02 12:22:37.147,1.0,-103,1,63
7131825,447084,26,2016-01-02 12:22:37.147,1.0,-103,1,1248
7131829,212851,23,2016-01-02 12:23:02.293,1.0,-103,1,1594
7131829,212854,23,2016-01-02 12:23:02.293,1.0,-103,1,1210
7131829,213093,23,2016-01-02 12:23:02.293,1.0,-103,1,5449
7131845,213075,20,2016-01-02 12:26:53.913,1.0,-103,1,465
7131845,213302,20,2016-01-02 12:26:53.913,1.0,-103,1,109
7131845,318192,20,2016-01-02 12:26:53.913,1.0,-103,1,525
7131845,319971,20,2016-01-02 12:26:53.913,1.0,-103,1,430
7131845,337185,20,2016-01-02 12:26:53.913,1.0,-103,1,1512
7131845,365962,20,2016-01-02 12:26:53.913,1.0,-103,1,987
7131845,441950,20,2016-01-02 12:26:53.913,1.0,-103,1,467
7131856,431011,23,2016-01-02 12:28:43.393,1.0,-103,1,2543
7131856,454098,23,2016-01-02 12:28:43.393,1.0,-103,1,7902
7131859,265755,27,2016-01-02 12:29:00.413,1.0,-103,1,9224
7131859,453316,27,2016-01-02 12:29:00.413,1.0,-103,1,1229
7131859,453322,27,2016-01-02 12:29:00.413,1.0,-103,1,3210
7131859,453325,27,2016-01-02 12:29:00.413,1.0,-103,1,1745
7131864,366540,9,2016-01-02 12:29:31.510,1.0,-103,1,6429
7131864,464623,9,2016-01-02 12:29:31.510,1.0,-103,1,660
7131867,317053,12,2016-01-02 12:30:15.220,1.0,-103,1,405
7131867,459798,12,2016-01-02 12:30:15.220,1.0,-103,1,5397
7131879,411207,32,2016-01-02 12:31:23.607,1.0,-103,1,135
7131879,463779,32,2016-01-02 12:31:23.607,1.0,-103,1,6185
7131879,464695,32,2016-01-02 12:31:23.607,1.0,-103,1,10349
7131897,420049,20,2016-01-02 12:33:48.317,1.0,-103,1,509
7131897,459562,20,2016-01-02 12:33:48.317,1.0,-103,1,357
7131898,320956,12,2016-01-02 12:34:00.153,1.0,-103,1,7378
